name,host_id,room_type,price,minimum_nights,number_of_reviews
Excelente Depto. con vista al canal,15228939,Entire home/apt,130,7,13
BEAUTIFUL CONDO ON THE BEACH!,15362033,Entire home/apt,110,4,18
Excelente depto. frente al mar,15228939,Entire home/apt,140,4,35
🥇Victoria Park #2 ~KING~ Las Olas - Beach - Dtown,15735415,Entire home/apt,84,1,93
Nice private room / Waterfront home,15820838,Private room,45,4,52
Located in the QClub Ft Lauderdale Bch Rsrt(2110),5397550,Entire home/apt,137,1,36
SPECTACULAR 1B DIRECT BEACH ACCESS,6554158,Entire home/apt,120,4,15
2080 PENTHOUSE 2/2 OCEAN FRONT,2001930,Entire home/apt,299,14,0
Aqua One Bedroom King Suite + Sofabed,14324932,Private room,158,28,33
Tranquilo One Bedroom King Suite,14324932,Private room,159,28,13
Casino Lodging “Country Acres” Parkland Florida,16295826,Entire home/apt,115,1,66
Comfy private bedroom in home-M,1748183,Private room,35,2,36
Lg1 Bdrm Solar Heat Pool Near Beach,265809,Entire home/apt,122,2,32
2BR/1BA Solar Heat Pool near Beach,265809,Entire home/apt,160,2,42
Eco friendly paradise near Airport/Port/Beaches!,17044377,Private room,55,1,68
Beautiful 2 bed condo by the ocean,14055439,Entire home/apt,150,90,1
Great Florida Vacation,2402257,Entire home/apt,125,5,86
Plantation Paradise,1792809,Entire home/apt,371,3,6
Comfort & elegance in prime East of US 1 location,12877826,Entire home/apt,395,14,3
Located in the QClub Ft Lauderdale Bch Rsrt (1911),5397550,Entire home/apt,142,1,52
Lovely apartment in first row with full amenities!,8033828,Entire home/apt,79,90,0
The Royal Palm Villa - Waterfront,17762583,Entire home/apt,375,3,36
Social Distancing Home w pool No Parties  allowed,17773902,Entire home/apt,250,3,74
Private Master with Private Bath  (and Pool),11553282,Private room,45,1,473
Tara Double Queen One Bedroom Suite,14324932,Entire home/apt,153,28,55
Beautiful Hollywood Beach home with heated pool!,18987173,Entire home/apt,271,4,48
Great Home  On Awarded Gold Course,19414765,Entire home/apt,150,90,6
The Racquet Club in Deer Creek,19414765,Entire home/apt,80,5,35
Sunny Place at Deerfield Beach,2350629,Private room,30,2,51
Penthouse on the Ocean / Apartamento en la playa,19693539,Entire home/apt,112,4,129
Great condo in Hallandale Beach,19196941,Entire home/apt,120,7,2
Piso 10D - Lovely Ocean View Apartment,8790381,Entire home/apt,106,3,13
Charming 2 Bedroom Condo on Beach!,19982919,Entire home/apt,128,90,0
Near the Beach.,20241048,Private room,130,3,0
 The Broadwalk  = 1/1 on Hlwd Beach,6509464,Private room,93,3,20
lovely condo with view on canals,20479149,Entire home/apt,86,4,97
Beautifully clean and remodeled 1 block to beach!,20512179,Entire home/apt,112,2,25
Charming Studio - Waterfront Property !,20703633,Entire home/apt,76,4,28
1 separate bedroom for 2 people,20702907,Private room,264,3,8
4Palms Guestroom in private  home,20793680,Private room,54,1,77
Home sweet Home Sunny Florida,7051819,Entire home/apt,90,30,2
Urban Luxury at Boardwalk & Beach  terrace & pool,9927271,Entire home/apt,130,3,5
Deluxe Condo in Central Fort Lauderdale Beach,1770887,Entire home/apt,349,6,4
Gorgeous 1 Bedroom  Like New !!,12878437,Entire home/apt,100,6,11
amazing  recently renovated!!,12878437,Entire home/apt,150,5,10
4 - Beach Bungalow w/ Free Parking,9946914,Entire home/apt,84,3,67
GORGEOUS OCEANFRONT PENTHOUSE,21769485,Entire home/apt,89,90,0
GORGEOUS OCEANFRONT PENTHOUSE,21771375,Entire home/apt,99,60,3
Across the beach  golf.  Pompano beach,22100178,Entire home/apt,50,2,12
Luxury Townhouse  Steps To Ocean,8114732,Entire home/apt,700,5,9
One Bedroom beach home Hollywood,22238827,Hotel room,107,1,1
Superior Standard Room,22238827,Private room,52,1,58
Vacation Rental,350312,Entire home/apt,150,60,1
Vacation Rental,350312,Entire home/apt,125,90,4
Piso 10W - Modern Beach Front Apartment,8790381,Entire home/apt,160,3,5
Hollywood Beach Resort Studio,7408483,Private room,50,30,5
3bd house  pool  1.3 miles to beach,19347509,Entire home/apt,105,10,59
Tropical Oasis  Luxury Surroundings,6270706,Private room,540,20,0
Waterfront fish pool beaches shop child pool fence,20208225,Entire home/apt,557,7,32
Fully furnished Condo,14751091,Entire home/apt,91,14,13
COZY!Walk to Holiday Park &LAS OLAS.,22441003,Entire home/apt,243,5,17
Lauderdale BoatHouse w/Ocean Access,9688645,Entire home/apt,150,3,13
Beautiful condo in Hallandale Beach,3843347,Entire home/apt,150,180,7
Tropical Retreat - City Close,2042945,Private room,200,2,0
Blue Room - Heart of Wilton Manors. Heated Pool.,3685146,Private room,59,1,540
Home steps from the beach!,23247360,Entire home/apt,435,2,28
Stay Warm on The Beach  The Umbrella Drink ,6509464,Private room,70,2,26
Stay Warm on Hollywood Beach Studio,6509464,Private room,74,3,22
Red Room - Heart of Wilton Manors. Heated Pool.,3685146,Private room,59,1,518
MIAMI- CHARMING 2 BDRM OCEANVIEW,637272,Entire home/apt,225,23,12
POOL HOME IN HALLANDALE BEACH,5221395,Entire home/apt,414,3,7
Luxury 4/2 nr beach sleep 8 Hot Tub,23505135,Entire home/apt,177,2,58
Pompano Beach Right On the Beach!,11873653,Entire home/apt,125,2,7
Located in the  QClub Ft Lauderdale Bch Rsrt(2212),5397550,Entire home/apt,148,1,24
Vacation Apartment 2&2 +/-90 days,23741402,Entire home/apt,80,80,26
Private Victoria Park Cottage,23786231,Entire home/apt,64,4,117
Stay Aboard Luxurious 78' Motor Yacht  FantaSea ,23807150,Entire home/apt,350,1,38
The Tides Ocean View  Right on the Beach,23821171,Entire home/apt,159,1,5
Right on the Beach,23821171,Entire home/apt,189,1,11
A home in Pembroke Pines  In the heart of South FL,4355651,Entire home/apt,135,5,43
Lovely Beach Studios -Walk to Ocean !,20512179,Entire home/apt,82,2,24
Fort Lauderdale walk to LAS OLAS,339865,Entire home/apt,155,3,83
room in Fort lauderdale,5514632,Private room,39,1,9
Cottage Room,24330722,Private room,40,1,212
Cozy Bedroom | 10 minutes from Super Bowl,4744761,Private room,200,1,0
Room at the Tennis Club,24476265,Private room,60,30,17
Perfect Seaside Vacation Place 1/1,10975267,Entire home/apt,89,5,69
★3br 3bth Home Dog Friendly 10 Mins to Beach ★,14472956,Entire home/apt,91,1,160
Lux Studio,24623672,Entire home/apt,75,2,97
16J Beach Penthouse-King Bed-Pool-Gym in Hollywood,24675123,Entire home/apt,90,4,115
Tropical Tiki Pool Home,24676288,Entire home/apt,300,3,2
2080 OCEAN FRONT 2/2 ON THE BEACH,2001930,Entire home/apt,295,14,0
WOW! Gated  FREE GOLF & TENNIS! Pembroke Pines  FL,1258016,Entire home/apt,90,120,2
Luxurious Close to Beach  Little Palace ,8869038,Entire home/apt,380,6,32
Hollywood Beach 4 bed  4.5 baths! steps from beach,24773245,Entire home/apt,400,3,76
Bright & Cozy #7 Suite 1 bedroom,20512179,Entire home/apt,108,5,3
PENTHOUSE OCEANFRONT 3/3  ON THE BEACH,2001930,Entire home/apt,289,5,3
Breathtaking Oceanview Condo 0261,18282693,Entire home/apt,150,14,0
Oceanview Spectacular 1B Condo 2121,18282693,Entire home/apt,150,14,0
Fabulous Beachfront 2/2 Condo 9111,18282693,Entire home/apt,175,14,2
Stunning Oceanview 1/1 Condo Tides,18282693,Entire home/apt,130,7,1
☀️ Relaxing 2BR Condo Close to beach   ☀️  🏖 & Fun❤️,25026680,Entire home/apt,69,2,78
Beautiful 😎 Waterfront home 3 Bdrms  Pool ☀️ Sand 🏖,25026680,Entire home/apt,170,2,93
Ideal place to relax  even if it’s only one night,25133481,Private room,70,1,91
Sunny Room,24330722,Private room,49,1,462
On the beach!  1 bedroom 2 bath condo free parking,25361296,Entire home/apt,65,28,8
Beach House Steps from the Ocean,25372446,Entire home/apt,242,5,17
OCEANFRONT 2/2  ON THE BEACH,2001930,Entire home/apt,148,5,4
Priv.Rm.and bath.No security deposit / cleanup fee,3322748,Private room,55,2,67
Cozy Little studio steps from the beach,22238827,Private room,67,1,57
Historic house  built in 1924,25507540,Private room,59,1,415
No Cleaning Fee  Close to Airport + Cruise Port,7046445,Private room,60,1,554
Gorgeous Oceanfront 2/2 Condo 8051,18282693,Entire home/apt,150,7,2
2/1 MARY POP APARTMENTS,454736,Entire home/apt,80,7,12
Walk to Lovely Beach from this Quiet Pool Home!,6422630,Entire home/apt,250,7,34
Make Yourself at Home Two,7259492,Private room,68,180,23
Waterfront. Private heated pool free kayaks.,25963913,Entire home/apt,357,5,1
Best location in Pompano beach  Clean and safe.,25965138,Entire home/apt,159,3,20
Wilton Manor-Dwtn FTL-Las Olas- BBC,25996213,Private room,44,4,80
Queen Studios Up to 4 Guests,22238827,Hotel room,154,1,7
Studio Romantic Cute #3 UV Light Sanitized,11679207,Entire home/apt,60,30,4
Beautiful Seaside Vacation Condo,10975267,Entire home/apt,89,5,44
Spacious 3/3 Only  5 Minutes Away From Beach!!,26132558,Entire home/apt,146,1,33
Very nice 3+ Bedroom and 2 Bath Condo,14751091,Entire home/apt,99,14,8
Stunning Oceanfront 3B/2B Condo 327,18282693,Entire home/apt,175,7,10
1/2 block from Pompano Beach - Furnished.,26293939,Entire home/apt,86,1,177
**Large Hollywood Broadwalk Beach House **,840481,Entire home/apt,139,4,134
Vacation Home 2 miles from  Beach,26557549,Entire home/apt,183,4,70
Quiet/Clean/Nice/Convenient,17267831,Private room,65,1,0
Bimini Breeze Apt.3 - pool- beach,8556229,Entire home/apt,60,3,57
Amazing beach views in Pompano!,27091615,Entire home/apt,150,90,1
Cozy Room,10601274,Private room,30,30,31
Magnificent 6BR Canal Home - Villa Riverside Tiki!,9443719,Entire home/apt,914,2,47
Large room with private bathroom,26975461,Private room,49,1,49
State of Art style Studio,20065593,Entire home/apt,63,15,17
Charming Private Villa - 1bedrm/1bath & kitchen,27053200,Entire home/apt,113,3,262
Lavender room for female only,26927207,Private room,50,30,8
2 bed 2 bath on the beach!,7137755,Entire home/apt,79,89,30
Very Private Entrance&Room&bath-pool”BEST IN TOWN”,11885471,Private room,54,2,279
Lovely Ft Lauderdale 3BD/2BT with heated pool!,16908884,Entire home/apt,120,30,17
Enchanting Beach Town. Villa 2.5 blks to Ocean!,22134830,Entire home/apt,325,3,18
Key West House- Cottage. SAME DAY BOOKINGS WELCOME,23016144,Entire home/apt,70,1,318
Spacious room with private bathroom.,26975461,Private room,53,1,55
Perfect 2-Bedroom in Miramar,345885,Entire home/apt,249,15,0
★ Dog Friendly 10 Mins to Beach 36 Inch Smart TV ★,14472956,Private room,19,1,99
★His & Her Sink Private Bath★ King Bed★42 InchTV★,14472956,Private room,20,1,97
★King Bed Private Bath★Dog Friendly 55 Inch HD TV★,14472956,Private room,23,1,76
Water front house  pool heather jacuzzi and garden,13973190,Entire home/apt,260,4,58
Poolside Pleasures Unit 1 - Fort Lauderdale  FL,23106092,Entire home/apt,129,2,108
2BR not available.  1 BR and Studio are available.,28011754,Entire home/apt,221,2,21
Private Room in Pembroke Pines Fl,27993139,Private room,37,1,9
Hidden Gem Studio Apartment,28047151,Private room,79,1,119
Vacation Getaway on Hollywood Beach  (1 BDRM),6509464,Private room,74,2,6
A Clean &Quiet Piece of Paradise -2 Bedroom,11553282,Entire home/apt,82,1,364
Comfy room in gated community,5371244,Private room,50,3,27
Ranch Style Bungalow,28404947,Entire home/apt,165,3,107
You deserve a break! Unwind  forget  and regroup!,28576919,Private room,60,1,43
Hollywood Beach: Sun+Fun = Love It! 1/1,6509464,Private room,135,1,14
Amazing Views from Luxury Highrise!,28711976,Entire home/apt,106,29,27
BEAUTIFUL HOUSE IN FLORIDA,28715172,Entire home/apt,150,3,41
Piso 9W - Amazing 2-Bedroom Apartment on the Beach,8790381,Entire home/apt,160,3,11
OCEANFRONT ON THE BEACH  1/1.5 14FL ON THE BEACH,2001930,Entire home/apt,175,5,4
Private Terrace  beach: 0.2 mile  F.Lauderdale  2r,28939001,Entire home/apt,114,3,57
Stunning Water Views  Large Canal,28968983,Entire home/apt,545,3,87
Beach and holidays in a perfect place! 10,29028383,Entire home/apt,195,5,14
4/4 Hollywood ❤️ House near Beach,29040778,Entire home/apt,295,3,47
Spacious Private Room w/Library in Waterfront Home,20240198,Private room,45,1,246
Quiet  Cozy  Relaxing  Large Couch,4480687,Shared room,41,1,9
Condo at Tennis Club,24476265,Entire home/apt,70,30,9
#3: Quiet 1BR with Real Kitchen & Central AC,4246703,Entire home/apt,69,2,318
Habor Haven Condo Fort Lauderdale Beach,5562547,Entire home/apt,135,30,1
1 BR Close to Everything!  Studio also available,28011754,Entire home/apt,108,4,18
Hollywood Condo 2b/2b Great Price BOOK NOW,29229680,Entire home/apt,135,30,6
Barhopper Deluxe on Wilton Drive!,29263754,Private room,53,3,29
MARY POP APART SLEEP 3  # 205 LAST MINUTE OK,454736,Entire home/apt,70,7,5
SOLAR! PRIVATE APARTMENT FOR 2  WITH POOL ACCESS!,29345759,Entire home/apt,590,1,198
Charming Beach Villa w/ Pool Fort Lauderdale Beach,12705227,Entire home/apt,240,3,58
XL 2BR/2BA Hollywood Beach Ocean!,26931782,Entire home/apt,215,90,8
Cozy 2 bedroom private house w Pool,29622548,Entire home/apt,165,7,23
4/4 Hollywood House Downtown  Beach  Entertainment,29040778,Entire home/apt,225,14,1
2 bedrooms at the beach  family friendly,29811867,Entire home/apt,220,4,32
Luxury one bedroom on a Ocean,18662631,Entire home/apt,80,120,0
