name,room_type,price,minimum_nights,number_of_reviews,reviews_per_month
Clean Cottage Apt In Tarrytown for work or live,Entire home/apt,100,2,309,2.64
Chic 2 Bdrm DwnTwn where Airbnb CEO stayed twice.,Entire home/apt,174,2,203,1.74
Upstairs Flat in Central Austin,Entire home/apt,100,2,178,1.52
EastSideLavishness- A Stay of Comfort and Joy,Entire home/apt,588,2,142,2.11
Comfy Digs in East Austin,Entire home/apt,400,2,16,0.14
The Travis Heights Tree House,Entire home/apt,80,20,41,0.35
Retro 60's Home Walk to Zilker Yard,Entire home/apt,175,2,16,0.16
Sweet South Austin Spot,Entire home/apt,149,2,22,0.3
Beautiful Home on Austin Greenbelt near Downtown,Entire home/apt,190,2,4,0.06
Modern Gem featured by Dwell. Pool + HotTub.,Entire home/apt,750,3,90,2.04
Downtown Luxury Home/ Clean/ PERFECT LOCATION,Entire home/apt,240,1,6,0.05
Living the Dream on Richardine,Private room,65,1,1,0.01
Nice Room Great House near Zilker,Private room,125,2,75,0.64
Cool Hyde Park efficiency apartment,Entire home/apt,109,2,338,2.89
Beautiful Zilker Park Condo next to Downtown!,Entire home/apt,104,2,139,1.19
Bungalow-Pool-Central East-Monthly-51st Area,Entire home/apt,116,4,30,0.49
Carriage House Apartment,Entire home/apt,119,30,55,0.47
Beautiful Bouldin Cottage - 78704,Entire home/apt,150,2,79,0.68
East-Side Bungalow,Entire home/apt,225,4,34,0.31
Central Austin Home,Entire home/apt,150,30,0,
Clean and quiet 3/2  in Mueller area.,Entire home/apt,400,1,3,0.09
Fun Central Austin Convenience,Private room,67,2,180,1.63
Campus Retreat,Entire home/apt,81,2,16,0.42
2 Living Rooms  Lots of Big Beds! 3 king  2 queen,Entire home/apt,329,30,116,1.17
South Austin Cottage 78704 - 2BR,Entire home/apt,70,31,128,1.12
15-20 min walk to ACL-Zilker; 4 min drive to Dntn,Entire home/apt,80,3,7,0.13
Spacious 1BR w/ Office in Hyde Park,Entire home/apt,126,5,78,0.73
Avenue G Guesthouse in Hyde Park,Private room,60,30,12,0.11
SXSW LAST MINUTE Downtown Space,Entire home/apt,259,1,2,0.02
Austin City Limits-Private Pool by Nature Preserve,Entire home/apt,295,3,50,2.08
Historic Hyde Park Home By Downtown,Entire home/apt,142,5,71,0.65
1915 Home w/1BR With Modern Flare,Entire home/apt,135,5,69,0.62
Sweet  Sexy Studio in the '02,Entire home/apt,98,1,445,4.01
Maiden Lane Guesthouse,Entire home/apt,99,3,198,2.06
4 BDR Home Ideal for SXSW  F1  ACL,Entire home/apt,450,3,14,0.13
TheTramHouse-90 Day Min,Entire home/apt,94,90,33,0.3
Barton Hills oasis! Bike/scooter to Zilker Park!,Entire home/apt,742,3,11,0.1
SOCO ItZ bitZ Bungalow,Entire home/apt,79,2,363,3.22
SXSW and ACL 4 bedroom in Austin!,Entire home/apt,800,3,7,0.06
South Austin- close to the action!,Entire home/apt,75,3,10,0.43
Light and Airy Central Austin Retreat with Gorgeous Patio,Entire home/apt,330,2,313,2.83
78704  South Austin 2 Bedroom monthly rental.,Entire home/apt,150,30,1,0.05
Large Zilker Home  Downtown- SOCO-ACL!,Entire home/apt,750,2,29,0.31
South Congress Studio Apartment,Entire home/apt,57,1,746,6.75
Parkside Loft - Large Bedroom & Sitting Area.,Private room,175,3,10,0.33
Keep Austin Lovely in 2BR/1Ba Mid-Century Home!,Entire home/apt,136,2,143,1.31
Heart of east Austin–unique  bright  private haven,Entire home/apt,189,2,85,1.06
SOCO Living,Entire home/apt,250,2,10,1.25
Sunny Condo Zilker/Dwntwn: (30% monthly discount),Entire home/apt,76,1,21,0.2
Luxe Spa Bungalow - Walk Downtown!,Entire home/apt,185,4,30,0.29
Circa 1899 Luxe Spa House - Walk DT,Entire home/apt,500,4,53,0.49
Modern Studio Loft,Entire home/apt,105,28,105,0.95
The Iconic Allen's Boots Clubhouse!,Entire home/apt,203,1,183,1.75
3 bedroom house near lakes ACL&SXSW,Entire home/apt,350,4,0,
The Treehouse 1930's Hyde Park Home,Entire home/apt,165,5,74,0.69
Remodeled Bungalow Downtown Eastside!,Entire home/apt,135,1,51,0.46
Hill House in Wonderful Bouldin!,Entire home/apt,164,2,108,1.68
Stay in the Birdhouse! East/Downtow,Entire home/apt,37,1,474,4.49
Lovely House In Hip East Austin,Entire home/apt,175,2,1,0.01
Cute Eastside Bungalow -  Perfect Austin Base,Entire home/apt,150,2,68,0.65
Clean & Comfy South Austin Condo!,Entire home/apt,350,3,30,1.37
One of a kind stay In the Heart of ATX,Entire home/apt,628,2,56,0.52
3bedroom 2.5bath Kitchen Garage all to yourself,Entire home/apt,73,30,23,0.22
3bd+Loft...SOCO Area Convenience,Entire home/apt,197,2,246,2.35
Stylish 3/2/2 with large backyard,Entire home/apt,185,30,55,0.52
Historic SOUTHAustin Retro Groovy LOFT 78704 proud,Entire home/apt,135,2,333,3.15
Spanish Hacienda mile from downtown,Private room,60,2,259,2.42
Big cute clean Casita in SxSAustin!,Entire home/apt,69,3,114,1.07
Barton Hills Man Cave Very Private,Private room,225,2,22,0.21
2 bdrm Condo at  360 Bridge,Entire home/apt,350,4,0,
Very convenient for SxSW,Entire home/apt,600,3,2,0.02
Hip  convenient home in 78704!,Entire home/apt,400,3,9,0.09
█ Swanky Townhome+Rooftop | Downtown | 6th Street!,Entire home/apt,429,1,232,2.21
Quaint East Austin 2BR SXSW 2016,Entire home/apt,694,4,2,0.02
The Perfect Austin Modern Home,Entire home/apt,207,2,85,0.81
Amazing Urban Hideaway for SXSW!,Entire home/apt,625,4,4,0.04
Holiday Haven: 3/2 Mid-Century Mod-Central Austin,Entire home/apt,750,2,1,0.04
Chic 1953 Spartanette Guesthouse,Entire home/apt,98,1,431,4.08
3/2 House w/ Pool in Barton Hills,Entire home/apt,500,1,13,0.14
Spacious 3/2 East Austin Home,Entire home/apt,240,4,47,0.45
4th St Loft in Downtown Austin!,Entire home/apt,178,1,370,3.81
Charming Central Austin Apartment,Entire home/apt,80,30,0,
Dream Location  Creative 5-Bedroom House w Jacuzzi,Entire home/apt,928,3,36,0.34
Renovated Central Austin Spacious  Guest House,Entire home/apt,95,29,5,0.05
Hillside designer home 10 min.dwntn,Entire home/apt,495,3,6,0.06
Urban Homestead  5 minutes to downtown,Private room,58,2,473,4.52
Entire Upstairs &  New HotTub Near Apple & Domain,Private room,111,2,15,0.14
One Room with Private Bathroom,Private room,100,2,0,
House for rent in  North Austin,Private room,109,1,0,
RARE SECLUDED 1940s ESTATE  Safe Cleaning Protocol,Entire home/apt,214,3,128,1.32
Walk to Downtown Homestay Pink Room,Private room,68,1,140,1.34
Great SXSW East Central Apartment,Entire home/apt,250,1,2,0.02
4Bed/2Bath Sleeps 16+ w Pool  HotTub  Sauna & Gym,Entire home/apt,1000,2,35,0.33
1800 Sq ft  3-2 home in NW Austin,Private room,80,32,33,0.31
Eastside House - Near Downtown!,Entire home/apt,177,2,194,1.85
Central East Private Room- Close UT,Private room,120,2,69,0.66
Greenbelt Professional Loft,Entire home/apt,400,4,0,
2 Bedroom duplex for monthly rental,Entire home/apt,50,30,15,0.15
SXSW Rental! 10 min from it all!,Entire home/apt,300,3,0,
SXSW | 4 bedroom home near Downtown,Entire home/apt,750,4,125,1.19
South Austin Ultra Modern,Private room,130,2,68,0.65
Spacious Private Master Suite by the Month.,Private room,34,31,3,0.11
2br  800 sq/ft house/east side/SXSW,Entire home/apt,400,3,0,
Charming Family Friendly Apartment,Entire home/apt,170,1,243,2.32
Close-in Central/East Garage Apt,Entire home/apt,35,30,23,0.22
Austin Historic Home Downtown SxSW,Entire home/apt,299,3,8,0.08
Exquisite Boutique SoCo Cottage with Shops and Restaurants Nearby,Entire home/apt,221,2,73,0.79
Austin Artist's Hm. in Hippest Area,Entire home/apt,158,3,210,2.03
4/3 Downtown East Austin SXSW F1,Entire home/apt,750,2,8,0.09
East Austin Bungalow,Entire home/apt,125,2,29,0.28
ATX -SOCO 3bd House...beats hotels!,Entire home/apt,430,1,37,0.35
The Heart of Chic Eastside/Near UT & Downtown,Entire home/apt,125,2,65,1.21
for formula one only...,Entire home/apt,643,5,1,0.01
Eastside Cabana - Near UT Downtown,Entire home/apt,128,1,605,5.78
Central Austin (Tarrytown) Bed and Bath,Private room,52,1,45,0.52
French country charming room/bath,Private room,75,1,0,
Monthly Rental Guest House /Apartment  in SoCo,Entire home/apt,58,29,6,0.06
4/3.5 SoCo Bungalow,Entire home/apt,575,3,143,1.78
SXSW Luxury 2 Bedroom appt!,Entire home/apt,225,3,1,0.01
Colorful Artsy and Unusual Guesthouse in Bouldin Creek,Entire home/apt,127,3,301,2.87
SXSW-Historic Home luxury-Central East Downtown,Entire home/apt,630,3,5,0.05
★ Spacious Modern Luxury + Walk to Food & Bars! ★,Entire home/apt,1864,3,110,1.05
Ultimate casually elegant retreat,Entire home/apt,248,3,11,0.1
Private South Austin Guest House,Entire home/apt,110,30,18,0.17
Great SXSW Location. 3br/2baths,Entire home/apt,1000,1,3,0.03
SXSW - musician's home,Entire home/apt,100,1,0,
Clean  Cute & Central-Clarksville!,Entire home/apt,99,2,12,0.11
Midcentury Modern in Central Austin,Entire home/apt,1050,30,2,0.02
Cozy and Modern Home,Entire home/apt,300,2,1,0.01
Upscale/Spacious Downtown Townhouse,Entire home/apt,485,2,9,0.09
Best ACL 2015 / Austin Summer,Entire home/apt,495,2,3,0.03
Zilker Home close to everything,Entire home/apt,151,3,224,2.14
Beautiful  Private Cottage,Private room,100,1,178,1.7
Entertainers Delight Close to SOCO,Entire home/apt,800,1,0,
SXSW  Bungalow Available 2/1,Entire home/apt,625,4,0,
Downtown Central Austin HUGE HOUSE!,Entire home/apt,386,2,110,2.93
Zilker Festival Suite,Entire home/apt,71,1,244,2.33
The Big Zilker. Minutes to it all!,Entire home/apt,844,4,27,0.34
Perfect for ACL/SXSW. Walk everywhere!,Entire home/apt,225,5,13,0.14
Private romantic getaway 150' above Lake Travis,Hotel room,210,2,1,0.03
Zilker Treehouse! Minutes to it all!,Entire home/apt,313,5,81,0.77
Hip E.Side Downtwn House Walk 2 ALL!,Entire home/apt,412,2,73,0.7
New listing! Modern Austin home super close to downtown w/free WiFi/full kitchen,Entire home/apt,296,2,160,1.53
Large ATX Home Minutes to Downtown,Entire home/apt,126,2,98,1.57
Charming Hyde Park Casita,Entire home/apt,106,3,186,1.78
Completely Renovated Mid Century,Entire home/apt,2150,4,1,0.01
New Modern Home  Near Downtown,Entire home/apt,399,30,12,0.12
SXSW Walk to Downtown. 2br Apt.,Entire home/apt,650,1,0,
EZCamping in near SxSAustin!6,Entire home/apt,15,2,19,0.19
Weekend room near downtown  SoCo,Private room,175,2,2,0.02
Walk to SXSW and downtown Austin TX,Entire home/apt,595,3,0,
Urban condo walk to SoCO/downtown,Entire home/apt,575,3,3,0.03
SXSW!! - Accommodations,Entire home/apt,1286,3,0,
Enjoy Rm in Artist's Hm N BEST AREA,Entire home/apt,88,3,24,0.24
❤Banana Bread+Next to Downtown+Cozy+Screen Porch,Entire home/apt,139,1,296,3.02
GREAT Room - SOUTH CONGRESS Area!,Private room,47,1,52,0.54
Steps to S. Congress  2 bedroom oasis w/ pool,Entire home/apt,174,30,21,0.23
Architectual Gem/ Pool,Entire home/apt,695,30,10,0.75
Modern Loft in the Heart of Austin!,Entire home/apt,134,2,230,2.25
Austin Historic home bedroom only,Private room,82,2,164,1.59
Cozy central east home-kid friendly,Entire home/apt,200,3,12,0.12
House on the Creek - 4BR/3BA - 10 minutes to City,Entire home/apt,279,3,85,0.83
Cute & Cozy Central Austin House,Entire home/apt,99,2,65,0.68
REDUCED  ACL weekend 1!!! Minutes to the park!,Entire home/apt,599,2,5,0.06
Funky SoFi Condo! Walk downtown! Private bathroom,Private room,45,30,25,0.25
Downtown Condo with Austin's skyline view!,Entire home/apt,139,2,89,1.09
Downtown SoCo Guest House,Entire home/apt,271,2,34,0.71
Peaceful retreat in the trees,Entire home/apt,232,2,72,0.96
South Austin Condo with Great View,Entire home/apt,250,1,0,
Elegant Upper Level Studio Minutes from Downtown,Entire home/apt,110,2,98,1.14
Downtown Oasis - Quiet Retreat!,Entire home/apt,108,2,399,3.93
Brentwood Guest House  Modern Home  Central Locale,Entire home/apt,120,2,68,0.69
Suite Spot (Zilker),Entire home/apt,99,14,450,4.43
Easy access/quiet/shady spot/SoutheastRiverside,Entire home/apt,72,30,126,1.33
Beautiful SoCo House near downtown,Entire home/apt,255,3,7,0.08
Designer Oasis-East Central Austin,Private room,100,2,25,0.27
Safe Stay/Downtown  Zilker  ACL HotTub,Entire home/apt,364,2,49,0.5
Zen Modern Home Near Downtown AUS,Private room,55,30,1,0.01
Design Pad with Art in Every Corner,Private room,105,2,12,0.13
Sunny Zilker Neighborhood Studio,Entire home/apt,98,1,374,3.81
Walk to ACL Fest from this Spyglass Treehouse,Entire home/apt,499,30,1,0.01
Austin Getaway,Entire home/apt,108,2,155,1.57
SOCO Beautiful Bungalow to Experience ATX!!,Entire home/apt,725,2,39,0.42
Stylish Furnished Condo with Pool,Entire home/apt,75,30,5,0.06
Modern  Spacious 3/2/2 South Austin,Entire home/apt,180,30,85,0.88
Mid-Century Modern E Austin- 2 Rooms in a house,Private room,73,1,111,1.12
Studio on funky S 3rd St. near SOCO,Entire home/apt,90,30,48,0.48
Clean Room & Own Bath in 50's home,Private room,70,2,28,0.29
French Place Studio,Entire home/apt,55,30,16,0.16
Private Artist Studio in Downtown Austin,Entire home/apt,90,2,94,0.94
The Blue Dahlia--close to Downtown!,Entire home/apt,117,30,29,0.3
Comfy private BR/house SHARE (with my work),Private room,65,2,1,1
Private & Professionally Cleaned-Vintage Eastside,Entire home/apt,140,1,468,4.73
Central/East Maple Guest House,Entire home/apt,166,2,294,3.05
5 Bedroom Home w/ a Putting Green & Pool Austin TX,Entire home/apt,1800,2,9,0.11
Quiet Getaway; Close to DNTN/UT/Trails & Townlake,Entire home/apt,91,3,5,0.32
NA Bright Cozy Gem,Entire home/apt,190,3,11,0.24
SXSW Perfection: Huge Craftsman Bungalow in SoCo,Entire home/apt,649,2,26,0.28
Southwestern Adobe Guest House,Entire home/apt,75,28,65,0.66
Travis Heights Hideaway SoCo studio,Entire home/apt,79,4,651,6.61
SXSW Downtown Austin 94 Walk Score,Entire home/apt,899,3,1,0.01
Charming East Austin Bungalow,Entire home/apt,219,3,106,1.13
The Casita on Hether St,Entire home/apt,154,2,132,1.35
Brentwood Bungalow-Central-2 BDRMS,Entire home/apt,80,30,18,0.19
2B/2B Condo in Downtown Austin,Entire home/apt,493,5,2,0.02
Charming Hill Country Cottage -Multiple Night Stay,Private room,71,2,166,1.76
A Place To Stay In Austin,Entire home/apt,249,2,156,1.6
Resort Style Living - Whole House,Entire home/apt,1499,3,56,0.57
Austin Mid Century Modern for SXSW,Entire home/apt,2000,3,0,
5 Star Gorgeous and Spacious Downtown Austin 4BR,Entire home/apt,969,2,26,0.28
EZ Camping = SxSAustin4,Entire home/apt,15,2,17,0.17
EZ Camping = SxSAustin2,Entire home/apt,15,2,68,0.73
Camping is EZ in SxSAustin1,Entire home/apt,15,2,15,0.16
Comfy 3/2 Home on UT shuttle,Entire home/apt,275,2,67,0.72
My Treehouse Home in South Austin,Entire home/apt,54,30,61,0.62
Beautiful duplex  perfect for SXSW!,Entire home/apt,545,2,0,
Walk to SXSW - Downtown Studio!!,Private room,250,3,0,
In-Town Oasis! Work-At-Home Stays Welcome,Entire home/apt,154,3,40,0.42
1 rm in house - 10 mi from SXSW!!,Entire home/apt,400,1,0,
Boutique Condo in Historic Clarksville- near SXSW,Entire home/apt,225,2,9,0.09
Charming garden home for F1 weekend,Entire home/apt,1250,2,0,
Central ATX Private Paradise - 3BR/2BA close to DT,Entire home/apt,228,2,142,1.53
Beautifully redone!  Near South Congress & DWTN,Entire home/apt,232,3,31,0.39
South Central Apartment  Formula 1,Private room,300,1,0,
MOD CASA 78704  close to SXSW/ DOWNTOWN,Entire home/apt,275,3,175,1.85
Central Austin Dream House,Entire home/apt,1200,3,11,0.12
Waterfront 1-bed  2 mi. to Downtown,Entire home/apt,135,2,24,0.25
Walk to South Congress from Your Retreat with Heated Pool,Entire home/apt,175,1,598,6.18
Walk to Zilker - 4 bedroom 3.5 bath,Entire home/apt,2250,5,0,
SXSW SPECIAL - Lovely 2BD HOME,Entire home/apt,233,5,5,0.07
Big Hollow,Entire home/apt,1100,1,0,
Charming spacious quiet house ACL,Entire home/apt,500,3,0,
South Central Treetop Guesthouse - Monthly Rental,Entire home/apt,450,30,81,0.84
Decompress at the Secluded Mod Pad Private Pool and Grill,Entire home/apt,132,1,238,2.44
Beautiful Zilker Villa,Entire home/apt,1300,2,12,0.13
Private and cozy guesthouse in Central Austin,Entire home/apt,78,2,98,1
Waterfront Condo on Lady Bird Lake,Entire home/apt,140,2,67,0.74
3BD Row Home in Heart of City,Entire home/apt,219,2,68,0.73
Sweet downtown home  GIGABIT net  1 Gbps up/down!,Entire home/apt,110,30,74,0.8
Modern  Sunny Condo off South 1st,Entire home/apt,700,4,8,0.1
Incredible Modern Design  ACL - F1,Entire home/apt,900,3,18,0.25
Bold  Historic Manor in the Heart of Town,Entire home/apt,586,2,228,2.35
Cozy 2-bdrm East Side house  walk to lots of cafes,Entire home/apt,128,3,177,2.59
4 BR 3.5 BA Home in Golf Community,Entire home/apt,1200,3,0,
2000 s.f. house for sxsw!,Entire home/apt,375,3,0,
2 Miles From The Domain & Whole Foods!,Private room,68,30,13,0.15
Cool Updated Craftsman Bungalow in Hyde Park.,Entire home/apt,386,3,74,0.8
SWEET SPOT IN 78704 1BR/1BATH   GREAT FOR SXSW,Private room,125,30,3,0.04
3BR House avail for F1 in Austin TX,Entire home/apt,1250,1,0,
3BR House avail for F1 in Austin TX,Entire home/apt,1000,3,0,
Walk to Zilker Park. Amazing Location! 1 Gigabit,Entire home/apt,173,4,63,0.68
Charming Cottage Close to Downtown,Entire home/apt,165,3,90,0.93
3BR/2BA Dwntwn House  AVOID TRAFFIC,Entire home/apt,500,5,24,0.26
Large Dining Room  Open Floor Plan,Entire home/apt,299,30,128,1.64
Guest house off of S. Congress,Entire home/apt,70,30,25,0.26
Luxury urban loft downtown Austin,Entire home/apt,200,90,0,
Gorgeous Modern Home in Zilker,Entire home/apt,900,7,7,0.08
Large Downtown Area Home  Sleeps 10,Entire home/apt,608,2,131,1.41
SXSW Central Austin Home,Entire home/apt,1999,3,1,0.01
F1 FANS  S. Austin  6 mi to capital,Private room,106,1,0,
The Coffey Grounds:No cleaning fee or extra taxes!,Entire home/apt,240,1,135,3.14
S. Austin Home,Private room,100,1,7,0.11
Lovely Bungalow Central/East Austin,Entire home/apt,350,3,1,0.01
Private Bedroom/Bathroom SE Austin,Private room,265,1,2,0.02
Modern Multi-Level w. Pool and Spa,Entire home/apt,1385,2,13,0.16
Huge house 15mins walk to Downtown,Entire home/apt,795,2,59,0.64
♥ of Downtown w/free parking! Sleep 6 in 4 beds! ♥,Entire home/apt,190,180,162,1.7
Atomic Ranch in Nucleus of S Austin,Entire home/apt,145,30,355,3.73
Bouldin Cottage,Entire home/apt,386,2,62,0.77
Private room in 3 BR condo Austin  TX,Private room,125,1,0,
2 Story 2 Bdr. House w/ Solarium,Entire home/apt,250,1,1,0.05
Fantastic SOCO Studio,Entire home/apt,94,2,117,1.25
UNIQUE Downtown/ Prime Location/CLEAN,Entire home/apt,260,1,7,0.25
Cozy Bright Hyde Park Guest House,Entire home/apt,102,5,51,0.55
Sprawling Home with Pool and Hot Tub near Downtown Austin,Entire home/apt,1707,3,60,0.63
Walk to UT  downtown! Cozy bed/bath,Private room,60,2,175,1.89
Wow! 5 BRs  Near Lakes  The Domain  Deck  Grill,Entire home/apt,220,3,34,0.62
One room for Rent-  SXSW!  2.5 miles to Downtown!,Private room,185,3,10,0.93
Cute  cozy room in Barton Hills,Private room,60,1,0,
deco chic 2/1 cottage - zilker/sola,Entire home/apt,151,2,177,1.88
Prime east-side location,Entire home/apt,150,2,76,0.82
Austin Downtown Urban Oasis - 2 br 1 1/2 bath,Entire home/apt,100,30,5,0.06
Beautiful Allandale Flat,Entire home/apt,85,30,4,0.06
Cozy East Side cottage,Entire home/apt,375,2,6,0.06
SXSW Haven: Bungalow in the Heart of East Austin,Entire home/apt,500,2,3,0.03
Harmony House (1 room w/ 2 beds) Central Austin,Private room,98,30,168,1.82
Urban Homestead  5 minutes to downtown,Private room,48,2,312,3.33
Modern Apt in excellent SOCO location!,Entire home/apt,149,2,15,0.24
Comfy Tarrytown Home - Close to Downtown,Entire home/apt,250,30,1,0.01
Modern Crash Pad on Holly St.,Entire home/apt,121,2,168,2.32
Zilker Family Home With Big Backyard and Patio,Entire home/apt,1800,3,3,0.04
Lovely 3/2 House in Barton Hills,Entire home/apt,495,2,6,0.06
Modern S. Austin Garage Apartment,Entire home/apt,103,2,145,1.56
Gorgeous Garden St. House near Downtown- Remodeled,Entire home/apt,348,2,46,0.81
Tucked Away SoCo Treehouse - 78704,Entire home/apt,44,30,49,0.53
East Austin House SXSW,Entire home/apt,600,3,6,0.06
SXSW House Rental- East Central,Entire home/apt,775,5,0,
Rare Wild West-style compound nr DT,Entire home/apt,671,1,191,2.07
Charming East Austin Gem! ~ 3 bedrooms  5 beds,Entire home/apt,85,10,184,1.99
Big House in SoCo - Perfect for SXSW  ACL  F1!,Entire home/apt,495,3,9,0.11
5 minutes from everything Austin... -Super comfy,Entire home/apt,116,2,39,0.42
SXSW Chic cozy pad,Private room,375,1,0,
Zilker House Comfortable Walkable 1930s Home,Entire home/apt,117,3,327,3.5
Eastside Zenpalace,Entire home/apt,300,2,11,0.12
SXSW Duplex minutes to Downtown!,Entire home/apt,350,5,0,
2br E Austin home in heart of SXSW!,Entire home/apt,425,3,2,0.02
Beautiful mid-century modern home in Wooten park,Entire home/apt,60,2,77,3.52
The Railyard Oasis Located Downtown,Entire home/apt,137,2,220,2.36
Heart of Austin /Downtown SOLA  3/1,Entire home/apt,108,2,238,2.95
*Reduced Price* SXSW Near Downtown,Entire home/apt,480,2,0,
New Resort Style Pool  Gym  Wifi !,Private room,164,1,0,
Nice SXSW Rental Starting 3/8/13,Private room,225,5,0,
SXSW Housing!,Entire home/apt,400,1,0,
Luxury Hill Country Condo Awaits...,Private room,5021,3,2,0.02
The LakeHouse on Lake Austin,Entire home/apt,800,5,57,0.66
Remodeled Mid-Century DownTown Gem,Entire home/apt,855,3,4,0.04
SXSW CLOSE TO DOWNTOWN!!!,Entire home/apt,800,5,0,
Luxury Condo  City Skyline  SXSW,Entire home/apt,250,4,21,0.23
Cozy Artist Condo in the Heart of South Lamar,Private room,77,2,8,0.09
Quiet and Convenient for SXSW,Entire home/apt,300,2,6,0.06
Central Austin Luxury Guest House,Entire home/apt,229,2,49,0.53
Chic Hyde Park Casita,Entire home/apt,120,2,107,1.15
Big bright room in Old West Austin/Clarksville,Private room,148,2,3,0.03
Near Apple  Dell  ebay w/breakfast,Private room,74,2,41,0.44
EZ Camping = SxSAustin3,Entire home/apt,15,2,14,0.15
Cozy 3/2.5 with King  Queen  Twin  W/D  Garage,Entire home/apt,155,28,88,0.95
ARTISTS HOME!! SXSW Close to airport  F1  Downtown,Entire home/apt,180,3,20,0.22
Austin Sky Suite - Downtown Luxury,Entire home/apt,118,180,0,
1300 sq ft Villa near Downtown,Entire home/apt,500,4,0,
Clarksville Guest House - Downtown,Entire home/apt,500,1,7,0.08
Enjoy SXSW and ACL in quiet comfort,Entire home/apt,225,3,1,0.01
Sanitized UT Downtown Pristine Condo w/VIEWS,Entire home/apt,90,7,179,2.07
Downtwn: Convention Ctr  SXSW  Free Parking,Entire home/apt,200,1,425,4.59
Feels Like Home,Entire home/apt,700,4,0,
Close to Downtown for ACL  F1 or SX,Entire home/apt,900,5,0,
EZ Camping is in SxSAustin!5,Entire home/apt,15,2,68,0.73
Artist’s Retreat in Hip East Austin w/Hot Tub!,Entire home/apt,220,3,20,0.22
Upper East Side SXSW Retreat,Entire home/apt,399,5,0,
East DT Austin home for SXSW!!,Private room,250,3,0,
Downtown 2 Bedroom Townhouse,Entire home/apt,120,21,8,0.25
♥of Downtown w/free parking! Sleeps 10 in 7 beds!♥,Entire home/apt,262,180,162,1.78
Vintage Airstream in East Austin  Texas,Entire home/apt,71,1,825,8.85
Downtown Austin Texas Condo,Entire home/apt,76,1,745,8.02
Bright E 6th St Downtown Loft,Entire home/apt,114,1,78,0.84
Tiny House- Best central location!,Entire home/apt,138,2,202,2.18
Birchwood Beauty in SxSAustin,Entire home/apt,200,3,0,
Downtown Spacious Private Backyard Remodeled,Entire home/apt,355,2,125,1.53
Greenbelt Haven,Entire home/apt,1000,4,8,0.41
Entire 2nd Floor of Home for 4 ppl,Private room,350,1,0,
Artist’s  East Side Studio,Entire home/apt,88,28,216,2.33
East Austin Upstairs  3 BR Near Downtown/Lake,Entire home/apt,225,2,162,1.75
Modern  Spacious Zilker apartment,Entire home/apt,150,3,156,1.71
Beautiful 5 room hardwood home!,Entire home/apt,335,2,158,1.73
Sunny Room in Central East Austin,Private room,49,2,9,0.16
Historical Loft with Capitol View!!,Entire home/apt,160,1,399,4.42
Exp SW Austin w/ Privacy - Close to downtown,Private room,52,2,3,0.09
Walk to any venue  downtown Austin,Entire home/apt,295,3,0,
